ID,State,Week,Original FICO Score,Latest FICO Score,"Dlq 
Days", Purchase Price , Down Payment ," Original
Principal
Balance "," Current
Principal 
Balance ", Total Amount Due ," Total
NSF
Due ", Total Late Charges Due , Payoff Amount ," Current 
Payment 
Amount  ","Current 
Rate","Current 
Term",Term Paid," Total Maintenance
Fee
Balance Due ","Payment
Type","Payment
Due Day",Times Late,Times DLQ,Times Defaulted,
70,NC,14,655,781,-15,12500,1250,11250,9397.42, -   , -   , -   ,9459.65,180.81,14.9,120,36,1294.47,AUTO DEBIT,15,0,0,0,
71,NC,36,691,710,-15,20400,2131,18268.88,15085.88,19.61,19.61, -   ,15205.4,326.79,14.9,96,27,721.63,AUTO DEBIT,15,1,0,0,
72,NC,32,1,819,-25,24200,7260,16940,14266.98, -   , -   , -   ,14295.28,242.06,11.9,120,31,0.63,AUTO DEBIT,25,0,0,0,
73,VA,31,634,552,-5,24200,4182,20017.97,16452.24, -   , -   , -   ,16617.4,309.61,13.9,120,37,732.38,AUTO DEBIT,5,0,0,0,
74,VA,44,769,689,-15,20750,11100,9650,8127.27, -   , -   , -   ,8170.26,137.89,11.9,120,31, -   ,AUTO DEBIT,15,0,0,0,
75,NC,32,672,637,10,23500,2350,21150,15574.65,424.74, -   ,158.9,15884.53,378.32,14.9,96,38,793.13,COUPON,20,13,6,0,
76,NC,10,516,512,345,16950,1695,15255,14206.67,3252.81,90,220.65,16636,245.18,14.9,120,17,1636.7,COUPON,20,14,13,8,
77,VA,20,778,792,-20,17100,10700,6400,5115.99, -   , -   , -   ,5134.59,91.45,11.9,120,37, -   ,COUPON,20,3,0,0,
78,NJ,19,702,738,-15,11100,1110,9990,7356.27, -   , -   , -   ,7404.98,178.7,14.9,96,38, -   ,AUTO DEBIT,15,0,0,0,
79,GA,42,750,761,-15,16900,1690,15210,11590.66, -   , -   , -   ,11667.42,244.46,14.9,120,48,721.63,AUTO DEBIT,15,0,0,0,
80,SC,16,541,639,597,14900,1490,13410,11916.28,5114.95, -   ,299.55,15684.44,240.77,17.9,120,26,1972.87,COUPON,10,14,13,10,
81,SC,30,608,678,-25,12900,1290,11610,8549.56, -   , -   , -   ,8570.79,207.67,14.9,96,38,363.32,AUTO DEBIT,25,0,0,0,
82,NC,33,689,777,-5,19400,2571,16828.73,12135.38,30,30, -   ,12295.97,270.48,14.9,120,53, -   ,AUTO DEBIT,5,1,0,0,
83,WV,30,773,830,-15,15700,2364,13335.51,11843.99, -   , -   , -   ,11917.16,206.25,13.9,120,25, -   ,AUTO DEBIT,15,0,0,0,
84,OH,5,714,598,674,6200,620,5580,4249.77,2435.54, -   ,37.56,5958.29,104.26,16.9,84,28,1286.75,COUPON,25,15,14,11,
85,TN,45,734,753,-15,19400,1940,17460,13753.08, -   , -   , -   ,13844.16,280.62,14.9,120,44, -   ,AUTO DEBIT,15,0,0,0,
86,VA,47,738,733,-25,17900,4198,13701.61,11151.75, -   , -   , -   ,11175.72,203.77,12.9,120,37,-0.71,AUTO DEBIT,25,0,0,0,
87,TN,39,515,553,25,10300,1033,9266.85,6660.88,265.26, -   ,99.5,6913.87,165.76,14.9,96,40,328.87,COUPON,5,12,6,0,
88,NC,46,724,724,67,19400,1977,17423.02,15482.38,903.69,30,33.6,16157.21,280.03,14.9,120,26,732.38,COUPON,25,3,2,0,
89,GA,19,730,543,-25,20750,4150,16600,14469.39, -   , -   , -   ,14500.5,246.88,12.9,120,27,732.38,AUTO DEBIT,25,0,0,0,
90,SC,20,1,583,-15,13650,4281,9368.69,8367.09, -   , -   , -   ,8411.34,133.87,11.9,120,22,338.32,AUTO DEBIT,15,0,0,0,
91,NC,12,718,676,-25,14900,2073,12826.73,8870.38, -   , -   , -   ,8892.41,229.44,14.9,96,43, -   ,AUTO DEBIT,25,0,0,0,
92,GA,31,1,825,-15,19100,3698,15401.86,11878.15, -   , -   , -   ,11951.53,266.68,13.9,96,33, -   ,AUTO DEBIT,15,0,0,0,
93,NC,20,727,704,-5,9700,970,8730,6352.12, -   , -   , -   ,6420.47,156.16,14.9,96,39,1116.91,AUTO DEBIT,5,0,0,0,
94,NC,43,803,777,-25,20400,12000,8400,2892.15, -   , -   , -   ,2896.92,178.06,9.9,60,32, -   ,AUTO DEBIT,25,0,0,0,
95,NC,44,658,623,-22,11750,1214,10535.97,9568.33, -   , -   , -   ,9603.98,169.34,14.9,120,22, -   ,AUTO DEBIT,22,0,0,0,
96,MD,1,809,782,-20,5100,510,4590,3959.25, -   , -   , -   ,3977.27,82.1,14.9,96,22, -   ,AUTO DEBIT,20,0,0,0,
97,NY,10,1,718,-15,16950,4150,12800,9514.48, -   , -   , -   ,9564.8,225.27,11.9,84,29,78.64,AUTO DEBIT,15,0,0,0,
98,VA,30,755,694,-15,24200,2420,21780,19462.74, -   , -   , -   ,19591.62,350.05,14.9,120,25,360.63,AUTO DEBIT,15,0,0,0,
99,SC,18,774,756,-10,15300,1530,13770,10675.67, -   , -   , -   ,10787.15,247.25,17.9,120,50, -   ,COUPON,10,14,0,0,
100,KY,27,762,750,-5,24200,2732,21468.07,19077.05, -   , -   , -   ,19282.34,345.04,14.9,120,26, -   ,AUTO DEBIT,5,0,0,0,
101,IN,32,714,781,-5,17990,8000,9990,6963.15, -   , -   , -   ,7022.99,142.75,11.9,120,53, -   ,AUTO DEBIT,5,0,0,0,
102,NC,29,624,652,-10,17000,1700,15300,9956.59, -   , -   , -   ,10043.13,245.91,14.9,120,64, -   ,AUTO DEBIT,10,0,0,0,
103,IN,24,785,790,-20,24550,7365,17185,366.37, -   , -   , -   ,367.48,364.29,9.9,60,27, -   ,COUPON,20,12,0,0,
104,NC,37,752,771,-10,9700,970,8730,6503.87, -   , -   , -   ,6560.4,156.16,14.9,96,37, -   ,AUTO DEBIT,10,0,0,0,
105,CT,36,718,742,-25,14850,9167,5683.05,2975.05, -   , -   , -   ,2980.95,81.21,11.9,120,74, -   ,AUTO DEBIT,25,0,0,0,
106,PA,44,1,600,-10,11400,1140,10260,6917.7, -   , -   , -   ,6973.79,191.71,13.9,84,37,967.99,AUTO DEBIT,10,0,0,0,
107,SC,28,1,669,-10,25300,4487,20812.72,18320.2, -   , -   , -   ,18468.75,347.34,13.9,120,21, -   ,AUTO DEBIT,10,0,0,0,
108,NY,16,562,663,-25,14900,2108,12791.98,9314.22, -   , -   , -   ,9337.35,205.6,14.9,120,53, -   ,AUTO DEBIT,25,0,0,0,
109,PA,39,579,660,-25,13900,1441,12458.88,6922.53, -   , -   , -   ,6938.57,192.7,13.9,120,73, -   ,AUTO DEBIT,25,0,0,0,
110,TN,43,746,689,-20,15900,3180,12720,6434.23, -   , -   , -   ,6457.63,223.86,11.9,84,50, -   ,AUTO DEBIT,20,0,0,0,
111,WV,21,460,615,-1,15300,1530,13769.99,11423.59, -   , -   , -   ,11720.7,221.32,14.9,120,37,732.38,AUTO DEBIT,1,0,0,0,
112,NY,13,574,665,-20,14900,1490,13410,7954.61, -   , -   , -   ,7990.83,239.87,14.9,96,53,536.86,AUTO DEBIT,20,0,0,0,
113,MD,8,612,502,-20,7100,710,6390,4051.15,12.24, -   ,12.24,4081.83,114.3,14.9,96,49,1854.86,AUTO DEBIT,20,0,0,0,
114,DE,46,664,697,-20,12600,1260,11340,1726.74, -   , -   , -   ,1733.54,257.44,12.9,60,53, -   ,AUTO DEBIT,20,0,0,0,
115,NC,27,675,662,3,12750,1275,11475,10087.82,192.79, -   ,8.36,10360.03,184.43,14.9,120,28,3.15,COUPON,27,14,0,0,
116,NC,2,436,485,56,6200,620,5580,3845.6,243.64,30,12.1,4022.77,100.77,14.9,96,44,1989.34,COUPON,5,2,1,0,
117,WV,37,1,588,-20,15725,1579,14145.99,12426.92, -   , -   , -   ,12483.5,227.36,14.9,120,28, -   ,AUTO DEBIT,20,0,0,0,
118,PA,12,724,546,-10,9000,900,8100,6171.94,0.02, -   , -   ,6225.6,144.89,14.9,96,35,597.3,AUTO DEBIT,10,2,0,0,
119,VA,40,674,577,-15,15725,1573,14152.5,11659.64, -   , -   , -   ,11736.85,227.46,14.9,120,38,981.13,AUTO DEBIT,15,0,0,0,
120,VA,6,673,522,-20,6750,675,6075,4100.11, -   , -   , -   ,4035.27,137.91,12.9,60,24,363.32,AUTO DEBIT,20,0,0,0,
121,NY,37,691,656,-25,16300,2030,14270.32,10967.56, -   , -   , -   ,10994.8,229.36,14.9,120,46, -   ,COUPON,25,8,0,0,
122,MD,36,702,580,-1,11400,1140,10260,6917.7, -   , -   , -   ,7095.66,191.71,13.9,84,37, -   ,AUTO DEBIT,30,0,0,0,
123,VA,47,683,608,-15,16900,5070,11830,8586.57, -   , -   , -   ,8631.98,169.04,11.9,120,49,732.38,AUTO DEBIT,15,0,0,0,
124,VT,30,744,806,-25,19300,2333,16967.2,6816.36, -   , -   , -   ,6833.29,272.7,14.9,120,89, -   ,AUTO DEBIT,25,0,0,0,
125,NC,44,799,698,-5,9700,970,8730,6117.35, -   , -   , -   ,6183.18,156.16,14.9,96,42,0.1,AUTO DEBIT,5,0,0,0,
126,SC,48,700,716,-15,8050,805,7245,6037.19, -   , -   , -   ,6077.17,129.6,14.9,96,26,368.69,AUTO DEBIT,15,0,0,0,
127,ME,34,745,794,-25,19400,3951,15449.5,9055.74, -   , -   , -   ,9076.72,268.48,13.9,96,53, -   ,AUTO DEBIT,25,0,0,0,
128,SC,13,694,578,-10,8730,873,7857,4409.5, -   , -   , -   ,4447.82,140.54,14.9,96,56, -   ,AUTO DEBIT,10,0,0,0,
129,VA,43,536,489,41,18800,1880,16920,12615.71,641.32, -   ,36.3,13094.41,302.51,17.9,120,57,914.18,COUPON,20,8,7,0,
130,NJ,37,742,686,-15,17100,11267,5833.33,5035.98, -   , -   , -   ,5062.61,83.35,11.9,120,26, -   ,COUPON,15,2,0,0,
131,SC,48,733,765,-15,10900,1090,9810,6483.16, -   , -   , -   ,6534.74,192.89,17.9,96,46, -   ,AUTO DEBIT,15,0,0,0,
132,CA,46,788,717,-25,16050,3210,12840,8002.43, -   , -   , -   ,8019.64,190.96,12.9,120,64, -   ,AUTO DEBIT,25,0,0,0,
133,VA,29,732,687,-5,12400,1557,10842.59,9354.71, -   , -   , -   ,9455.37,174.27,14.9,120,31, -   ,AUTO DEBIT,5,0,0,0,
134,SC,14,753,582,759,14900,2452,12447.98,11248.08,5318.1, -   ,124.6,16560.76,207.74,15.9,120,22,1858.25,COUPON,1,14,14,11,
135,VA,44,571,505,-5,13300,1995,11305,9291.19, -   , -   , -   ,9384.46,174.85,13.9,120,35, -   ,COUPON,5,4,1,0,
136,WV,35,642,505,340,16733,1673,15060,13306.65,3124.32,60,159.72,15473.99,242.05,14.9,120,27,1645.01,COUPON,25,12,11,8,
137,NY,45,654,705,-15,16900,2535,14365,11634.22, -   , -   , -   ,11553.35,222.18,13.9,120,39, -   ,AUTO DEBIT,10,14,0,0,
138,NY,19,589,708,-5,20400,2058,18342.38,16584.94, -   , -   , -   ,16763.41,294.8,14.9,120,23,721.63,AUTO DEBIT,5,0,0,0,
139,SC,48,563,479,705,8050,805,7245,7175.7,3878.86, -   ,246.46,11181.9,151.35,19.9,96,2,1896.33,COUPON,25,15,14,11,
140,SC,13,646,494,582,24600,2460,22140,17236.49,9319.56, -   ,612.96,23224.51,435.33,17.9,96,33,4910.81,COUPON,25,15,14,11,
141,NC,37,680,759,-22,19400,1940,17460,13532,18.81, -   ,18.81,13601.21,280.62,14.9,120,46,5.08,AUTO DEBIT,5,0,0,0,
142,MD,31,1,683,-20,21600,9221,12378.59,10712.18, -   , -   , -   ,10751.13,176.88,11.9,120,27, -   ,AUTO DEBIT,20,0,0,0,
143,OH,44,765,539,36,15500,4650,10850,5665.08,370.42, -   , -   ,5776.59,185.21,10.9,84,47, -   ,COUPON,25,3,1,0,
144,CA,10,757,770,-5,14900,7800,7100,3667.74, -   , -   , -   ,3683.63,103.7,6,84,45, -   ,AUTO DEBIT,5,0,0,0,
145,KY,39,602,600,-25,13650,1365,12285,10792.05, -   , -   , -   ,10818.85,197.45,14.9,120,28,363.32,AUTO DEBIT,25,0,0,0,
146,OH,27,677,685,-20,20900,2514,18386.47,9694.26, -   , -   , -   ,9735.43,284.38,13.9,120,76, -   ,AUTO DEBIT,20,0,0,0,
147,NC,23,745,726,-28,15480,8325,7155,3189.67, -   , -   , -   ,3192.83,102.24,11.9,120,82, -   ,AUTO DEBIT,28,0,0,0,
148,SC,47,729,606,25,19400,3880,15520,10639.91,244.67, -   ,69.25,10866.19,230.82,12.9,120,56,732.38,COUPON,5,5,2,0,
149,FL,6,801,772,-15,8050,805,7245,5982.55,7.78, -   ,7.78,6029.94,129.6,14.9,96,27,50.68,COUPON,15,9,0,0,
150,GA,6,732,538,-25,7500,750,6750,4403.64, -   , -   , -   ,4413.84,126.12,13.9,84,39, -   ,AUTO DEBIT,25,0,0,0,
151,GA,23,692,663,-5,9700,970,8730,6196.58, -   , -   , -   ,6263.26,156.16,14.9,96,41,1119.13,AUTO DEBIT,5,0,0,0,
152,DE,20,684,738,-25,16900,1827,15073.31,11387.01, -   , -   , -   ,11415.29,242.26,14.9,120,49, -   ,AUTO DEBIT,25,0,0,0,
153,GA,43,675,528,46,16500,2442,14057.78,7537.28,460.96, -   ,26.1,7781.43,217.43,13.9,120,74,714.18,COUPON,15,2,1,0,
154,NC,8,463,,289,6900,691,6208.75,5737.91,1255.76,30,178.04,6607.73,111.06,14.9,96,13,1445.37,COUPON,15,14,11,6,
155,NC,46,493,556,740,9700,1026,8673.75,8008.68,4544.5, -   ,280.75,11054.39,170.55,17.9,96,13,1435.49,COUPON,20,14,13,10,
156,SC,48,647,707,-5,10900,1293,9607,5994.18, -   , -   , -   ,6058.69,171.85,14.9,96,50,793.13,AUTO DEBIT,5,1,0,0,
157,VA,50,619,617,-15,8050,805,7245,4888.27, -   , -   , -   ,4916.3,164.48,12.9,60,24,363.32,AUTO DEBIT,15,0,0,0,
158,NC,32,641,728,-20,23200,2320,20880,14631.81, -   , -   , -   ,14698.43,373.49,14.9,96,42, -   ,AUTO DEBIT,20,0,0,0,
159,GA,7,599,613,-25,8000,800,7200,3889.22, -   , -   , -   ,3898.88,128.79,14.9,96,57,-0.38,AUTO DEBIT,25,0,0,0,
160,MD,2,592,597,-20,5200,520,4680,4033.24, -   , -   , -   ,4051.6,83.71,14.9,96,22,0.45,AUTO DEBIT,20,0,0,0,
161,NC,8,600,,432,7100,710,6390,2832,1828.16,30,7.16,3253.71,119.4,13.9,84,34,1005.38,COUPON,25,15,14,11,
162,SC,6,646,634,-25,7500,926,6573.75,5428.33, -   , -   , -   ,5441.81,117.59,14.9,96,27,424.06,AUTO DEBIT,25,1,0,0,
163,VA,8,693,630,-25,7100,1065,6035,4232.92, -   , -   , -   ,4242.72,104.49,13.9,96,41, -   ,AUTO DEBIT,25,0,0,0,
164,WV,18,635,715,-15,12600,1260,11340,8545.02, -   , -   , -   ,8601.61,202.85,14.9,96,36,363.32,AUTO DEBIT,15,0,0,0,
165,NC,23,643,695,5,16650,1665,14985,6672.46,264.88, -   ,14.99,6910.45,249.89,15.9,120,86, -   ,COUPON,25,12,0,0,
166,PA,27,698,716,-20,12900,1290,11610,8649.84, -   , -   , -   ,8689.22,207.67,14.9,96,37,363.32,AUTO DEBIT,20,0,0,0,
167,NC,5,472,549,-15,6200,771,5428.75,4090.61, -   , -   , -   ,4117.7,97.11,14.9,96,36,1417.9,AUTO DEBIT,15,0,0,0,
168,CT,30,698,696,-20,23200,2320,20880,13028.88, -   , -   , -   ,13088.2,373.49,14.9,96,50,732.38,AUTO DEBIT,20,0,0,0,
169,TN,40,672,650,-15,12200,1220,10980,7069.51, -   , -   , -   ,7116.33,196.41,14.9,96,48,359.46,AUTO DEBIT,15,0,0,0,
170,SC,22,663,787,-20,19400,3880,15520,7676.24, -   , -   , -   ,7704.15,273.14,11.9,84,49, -   ,COUPON,20,0,0,0,
171,OH,45,761,735,-10,12000,1200,10800,8918.21, -   , -   , -   ,8995.72,193.19,14.9,96,27, -   ,AUTO DEBIT,10,0,0,0,
172,PA,16,668,683,-15,9900,1090,8810,5540.58, -   , -   , -   ,5584.66,173.23,17.9,96,50,944.12,COUPON,15,14,1,0,
173,PA,7,634,660,-1,7500,926,6573.75,5229, -   , -   , -   ,5440.54,122.83,13.9,84,25, -   ,COUPON,1,11,5,2,
174,PA,44,624,549,390,10400,1040,9360,8799.51,2142.14,60,126.42,10453.06,150.44,14.9,120,15,1256.08,COUPON,5,13,12,9,
175,NC,7,678,721,-10,7100,771,6328.75,4402.52, -   , -   , -   ,4438.22,118.25,13.9,84,35,363.32,COUPON,10,13,5,0,
176,NJ,7,619,689,-1,6900,926,5973.75,4372.35,38.14,30,8.14,4479.48,135.62,12.9,60,20, -   ,AUTO DEBIT,1,1,0,0,
177,VA,50,690,611,-25,8050,805,7245,5871.23, -   , -   , -   ,5885.81,129.6,14.9,96,29, -   ,AUTO DEBIT,25,0,0,0,
178,OH,18,802,731,-15,9700,970,8730,6206.98,9.37, -   ,9.37,6257.45,156.16,14.9,96,41, -   ,AUTO DEBIT,15,0,0,0,
179,NJ,23,586,604,-5,12500,1747,10752.8,8123.11, -   , -   , -   ,8210.52,172.82,14.9,120,49,703.19,AUTO DEBIT,5,0,0,0,
180,NC,52,683,588,472,8700,1026,7673.75,6727.54,2559.04, -   ,144.8,8427.22,150.89,17.9,96,20,1094.05,COUPON,15,14,13,10,
181,MD,46,608,556,60,12900,1290,11610,10066.85,441.92, -   ,37.53,10698.59,208.45,17.9,120,34,363.32,COUPON,1,14,4,0,
182,VA,7,688,588,-25,7100,926,6173.75,3914.18, -   , -   , -   ,3923.9,110.43,14.9,96,49, -   ,AUTO DEBIT,25,0,0,0,
183,NC,15,793,784,-20,10800,2160,8640,5878.57, -   , -   , -   ,5899.95,152.06,11.9,84,35, -   ,AUTO DEBIT,20,0,0,0,
184,SC,2,525,503,406,6200,630,5570,4448.56,1495.11, -   ,101.03,5286.6,99.63,14.9,96,30,590.54,COUPON,20,14,13,10,
185,NC,48,571,696,-20,7100,710,6390,4176.81, -   , -   , -   ,4195.82,114.3,14.9,96,47,19.56,AUTO DEBIT,20,0,0,0,
186,VA,5,676,702,-2,6750,1294,5456.25,4307.21, -   , -   , -   ,4351.97,98.96,12.9,84,25, -   ,AUTO DEBIT,2,0,0,0,
187,GA,17,651,654,-20,10500,1394,9106.25,7519.64, -   , -   , -   ,7553.88,162.89,14.9,96,27,1125.53,AUTO DEBIT,20,0,0,0,
188,PA,51,779,835,-15,14900,4900,10000,6890.51, -   , -   , -   ,6920.83,211.98,9.9,60,22, -   ,AUTO DEBIT,15,0,0,0,
189,NY,51,777,801,-5,11150,1115,10035,8076.27, -   , -   , -   ,8157.35,187.5,13.9,84,24,0.1,AUTO DEBIT,5,0,0,0,
190,MI,37,805,775,-10,12200,1365,10834.8,6426.73, -   , -   , -   ,6482.59,193.81,14.9,96,53, -   ,AUTO DEBIT,10,0,0,0,
191,VA,9,627,715,-5,9700,1481,8218.6,5297.9, -   , -   , -   ,5351.09,142.3,13.9,96,47,291.32,AUTO DEBIT,5,0,0,0,
192,NC,9,812,834,-10,14900,7450,7450,2766.69, -   , -   , -   ,2782.67,157.92,9.9,60,41, -   ,AUTO DEBIT,10,0,0,0,
193,SC,4,675,799,-5,7380,738,6642,3939.68, -   , -   , -   ,3982.08,118.81,14.9,96,53, -   ,AUTO DEBIT,5,0,0,0,
194,GA,9,679,647,-5,10250,1025,9225,4613.66, -   , -   , -   ,4633.65,140.49,6,96,60,363.32,AUTO DEBIT,5,2,0,0,
195,SC,7,614,540,-10,7100,710,6390,4339.47,56.26,56.26, -   ,4433.45,114.3,14.9,96,44, -   ,AUTO DEBIT,10,4,1,0,
196,SC,49,752,755,-20,9900,990,8910,7556.69, -   , -   , -   ,7591.1,159.38,14.9,96,24,721.63,AUTO DEBIT,20,0,0,0,
197,MD,15,695,717,-1,9900,1294,8606.25,5455.83, -   , -   , -   ,5605.88,153.95,14.9,96,49, -   ,AUTO DEBIT,1,0,0,0,
198,SC,7,516,,-5,10900,1090,9810,5073.83, -   , -   , -   ,5124.76,151.73,13.9,120,77,1975.39,AUTO DEBIT,5,8,6,0,
199,MD,17,544,644,10,11600,1160,10440,4780.11,209.17, -   ,22.42,4883.06,186.75,14.9,96,65,7.98,COUPON,20,11,5,0,
200,NC,34,470,520,698,10300,1030,9270,9122.41,4517.99, -   ,325.78,13294.17,182.27,17.9,96,3,1546.4,COUPON,1,14,14,11,
201,SC,13,703,805,-15,14900,1490,13410,7526.02, -   , -   , -   ,7575.86,239.87,14.9,96,56, -   ,AUTO DEBIT,15,0,0,0,
202,SC,8,624,612,750,7000,700,6300,5154.21,3307.5, -   ,210.75,7089.7,123.87,17.9,96,28,1450.37,COUPON,10,14,13,10,
203,NC,10,764,782,-20,10800,1080,9720,8637.45, -   , -   , -   ,8676.78,156.22,14.9,120,26, -   ,AUTO DEBIT,20,0,0,0,
204,PA,1,643,510,36,5200,520,4680,3515.41,275.22, -   ,62.74,3660.25,106.24,12.9,60,19,890.81,COUPON,25,2,1,0,
205,NC,49,705,749,-25,8000,900,7100,3251.71, -   , -   , -   ,3259.25,132.66,13.9,84,55, -   ,AUTO DEBIT,25,0,0,0,
206,NC,8,626,600,-10,7100,710,6390,3652.94, -   , -   , -   ,3682.56,119.4,13.9,84,45, -   ,COUPON,10,4,0,0,
207,SC,38,513,559,-25,11050,1105,9945,8287.37, -   , -   , -   ,8307.95,177.89,14.9,96,26,1238.59,AUTO DEBIT,25,0,0,0,
208,GA,9,699,730,-20,9800,980,8820,7283.24, -   , -   , -   ,7316.4,157.77,14.9,96,27, -   ,AUTO DEBIT,20,0,0,0,
209,VA,26,745,767,-3,24200,2420,21780,19244.6, -   , -   , -   ,19467.62,350.05,14.9,120,27, -   ,AUTO DEBIT,3,0,0,0,
210,VA,37,795,735,-15,13650,1365,12285,9772.07, -   , -   , -   ,9832.44,229.54,13.9,84,25, -   ,AUTO DEBIT,15,0,0,0,
211,SC,49,453,580,745,7100,771,6328.75,6187.62,3341.51, -   ,230.51,8605.45,124.44,17.9,96,4,1474.51,COUPON,15,14,13,10,
212,OH,25,777,693,-10,24200,4840,19360,12733.84, -   , -   , -   ,12822.24,340.72,11.9,84,36, -   ,COUPON,10,14,0,0,
213,GA,12,485,541,851,7540,754,6786,6177.84,3951.7,30,185.66,9734.91,133.43,17.9,96,17,523.9,COUPON,1,14,14,11,
214,NC,5,648,596,-5,6200,742,5458.25,3063.44, -   , -   , -   ,3096.41,97.63,14.9,96,56,640.28,AUTO DEBIT,5,0,0,0,
215,VA,1,613,712,-10,6100,896,5203.75,472.31, -   , -   , -   ,476.14,97.23,13.9,84,71, -   ,AUTO CREDIT,10,12,10,0,
216,NY,6,674,640,-20,7000,700,6300,3910.41, -   , -   , -   ,3931.8,123.93,17.9,96,56, -   ,COUPON,20,12,8,1,
217,NY,32,658,596,-20,11600,1260,10340,6450.39,0.35,0.35, -   ,6480.1,184.96,14.9,96,48,363.32,AUTO CREDIT,20,1,0,0,
218,NC,27,764,709,-15,11600,1160,10440,7954.83, -   , -   , -   ,8007.51,186.75,14.9,96,35, -   ,AUTO DEBIT,15,0,0,0,
219,SC,6,535,643,-25,7700,1026,6673.75,5458.67, -   , -   , -   ,5472.23,119.38,14.9,96,28, -   ,AUTO DEBIT,25,0,0,0,
220,MD,4,732,685,-1,6200,671,5528.75,4729.06, -   , -   , -   ,4853.29,98.9,14.9,96,23,363.32,AUTO DEBIT,1,0,0,0,
221,SC,14,569,528,69,12500,1250,11250,9268.34,719.23,90,86.8,9817.95,180.81,14.9,120,38,1553.22,AUTO DEBIT,23,9,8,0,
222,IN,9,677,613,-25,10300,1030,9270,6662.93, -   , -   , -   ,6679.47,165.82,14.9,96,40,1405.26,AUTO DEBIT,25,0,0,0,
223,GA,50,525,647,56,6900,926,5973.75,5194.97,386.41,90,82.69,5551.13,106.86,14.9,96,21, -   ,AUTO DEBIT,5,4,2,0,
224,VA,43,799,828,-15,11100,1110,9990,5735.02, -   , -   , -   ,5770.45,154.51,13.9,120,71, -   ,AUTO DEBIT,15,0,0,0,
225,KY,23,759,793,-25,11100,1110,9990,4813.49, -   , -   , -   ,4825.45,178.7,14.9,96,63, -   ,AUTO DEBIT,25,0,0,0,
226,NC,31,561,551,263,23200,2320,20880,18449.08,3361.41, -   , -   ,20592.8,373.49,14.9,96,18,721.63,COUPON,1,11,10,5,
227,MD,35,517,494,-10,10400,1040,9360,8687.16,80.3,40.1,40.2,9119.36,167.43,14.9,96,19,1535.7,AUTO DEBIT,10,14,13,9,
228,NC,2,671,483,117,6450,645,5805,4671.73,614.92,150,26.04,5110.09,108.47,13.9,84,24,491.74,AUTO DEBIT,5,6,4,0,
229,NC,30,601,680,-20,11600,1160,10440,6618.53, -   , -   , -   ,6648.66,186.75,14.9,96,49, -   ,AUTO DEBIT,20,0,0,0,
230,MD,49,669,654,-20,7100,710,6390,3923.78, -   , -   , -   ,3941.64,114.3,14.9,96,50,186.13,COUPON,20,11,6,1,
231,NC,7,591,646,-1,7500,926,6573.75,5477.9, -   , -   , -   ,5622.31,117.59,14.9,96,26,424.06,AUTO DEBIT,15,0,0,0,
232,DE,11,759,782,-20,16950,3390,13560,9940.56, -   , -   , -   ,9976.71,238.65,11.9,84,30, -   ,AUTO DEBIT,20,0,0,0,
233,MD,7,619,732,-15,7100,1026,6073.75,4095.04, -   , -   , -   ,4120.33,113.49,13.9,84,37,363.32,AUTO DEBIT,15,0,0,0,
234,SC,46,803,655,-5,11100,1110,9990,5769.48, -   , -   , -   ,5835.74,166.72,15.9,120,73,363.32,COUPON,5,0,0,0,
235,VA,5,698,613,-20,7400,740,6660,217.25, -   , -   , -   ,218.31,131.9,15.9,84,77, -   ,COUPON,20,0,0,0,
236,NC,6,578,644,117,7700,926,6773.75,5637.41,530.8, -   ,37.95,5972.93,126.57,13.9,84,20,962.46,COUPON,5,12,8,0,
237,VA,13,525,,740,10150,1015,9135,9135,4290.8, -   ,205.8,12031.82,163.4,14.9,96,0,1885.28,COUPON,20,14,13,10,
238,IL,23,560,651,664,14900,1490,13410,1915.15,2026.76, -   , -   ,2023.8,207.41,13.9,120,51,536.77,COUPON,5,3,3,3,
239,SC,8,485,480,821,7100,711,6388.75,5688.48,3614.48, -   ,222.74,9077.54,125.62,17.9,96,18,1966.46,COUPON,1,14,14,11,
240,VA,3,782,756,-20,6750,1046,5703.75,4674.29, -   , -   , -   ,4694.14,98.76,13.9,96,27, -   ,AUTO DEBIT,20,0,0,0,
241,MD,47,661,495,5,11100,1110,9990,5440.53,208.22, -   ,11.79,5549.35,196.43,17.9,96,59,363.32,COUPON,25,11,0,0,
242,MA,4,505,591,-15,6750,675,6075,4832.27, -   , -   , -   ,4862.12,113.51,13.9,84,25, -   ,AUTO DEBIT,15,0,0,0,
243,SC,8,643,628,-10,7000,765,6235,3361.85, -   , -   , -   ,3391.07,111.53,14.9,96,58,579.79,AUTO CREDIT,10,1,0,0,
244,NC,50,455,584,679,7100,710,6390,5478.54,3466.3, -   ,396.03,7788.83,133.49,19.9,96,25,1431.2,COUPON,20,14,13,10,
245,NC,11,503,627,-20,9800,980,8820,7098.95, -   , -   , -   ,7131.27,157.77,14.9,96,30,484.8,AUTO DEBIT,20,0,0,0,
246,NJ,38,681,612,-15,19400,5820,13580,8066.89, -   , -   , -   ,8102.38,287.87,9.9,60,28, -   ,AUTO DEBIT,15,0,0,0,
247,SC,17,792,814,-20,10300,1030,9270,7439.85, -   , -   , -   ,7473.72,165.82,14.9,96,30, -   ,COUPON,20,0,0,0,
