ID,State,Week,Original FICO Score,Latest FICO Score,"Dlq 
Days",Purchase Price,Down Payment,"Original
Principal
Balance","Current
Principal 
Balance",Total Amount Due,"Total
NSF
Due",Total Late Charges Due,Payoff Amount,"Current 
Payment 
Amount","Current 
Rate","Current 
Term",Term Paid,"Total Maintenance
Fee
Balance Due","Payment
Type","Payment
Due Day",Times Late,Times DLQ,Times Defaulted
90,SC,20,1,583,-15,"13,650.00","4,281.00","9,368.69","8,367.09",-,-,-,"8,411.34",133.87,11.9,120,22,338.32,AUTO DEBIT,15,0,0,0
91,NC,12,718,676,-25,"14,900.00","2,073.00","12,826.73","8,870.38",-,-,-,"8,892.41",229.44,14.9,96,43,-,AUTO DEBIT,25,0,0,0
92,GA,31,1,825,-15,"19,100.00","3,698.00","15,401.86","11,878.15",-,-,-,"11,951.53",266.68,13.9,96,33,-,AUTO DEBIT,15,0,0,0
93,NC,20,727,704,-5,"9,700.00",970,"8,730.00","6,352.12",-,-,-,"6,420.47",156.16,14.9,96,39,"1,116.91",AUTO DEBIT,5,0,0,0
94,NC,43,803,777,-25,"20,400.00","12,000.00","8,400.00","2,892.15",-,-,-,"2,896.92",178.06,9.9,60,32,-,AUTO DEBIT,25,0,0,0
95,NC,44,658,623,-22,"11,750.00","1,214.00","10,535.97","9,568.33",-,-,-,"9,603.98",169.34,14.9,120,22,-,AUTO DEBIT,22,0,0,0
96,MD,1,809,782,-20,"5,100.00",510,"4,590.00","3,959.25",-,-,-,"3,977.27",82.1,14.9,96,22,-,AUTO DEBIT,20,0,0,0
97,NY,10,1,718,-15,"16,950.00","4,150.00","12,800.00","9,514.48",-,-,-,"9,564.80",225.27,11.9,84,29,78.64,AUTO DEBIT,15,0,0,0
98,VA,30,755,694,-15,"24,200.00","2,420.00","21,780.00","19,462.74",-,-,-,"19,591.62",350.05,14.9,120,25,360.63,AUTO DEBIT,15,0,0,0
99,SC,18,774,756,-10,"15,300.00","1,530.00","13,770.00","10,675.67",-,-,-,"10,787.15",247.25,17.9,120,50,-,COUPON,10,14,0,0
100,KY,27,762,750,-5,"24,200.00","2,732.00","21,468.07","19,077.05",-,-,-,"19,282.34",345.04,14.9,120,26,-,AUTO DEBIT,5,0,0,0
101,IN,32,714,781,-5,"17,990.00","8,000.00","9,990.00","6,963.15",-,-,-,"7,022.99",142.75,11.9,120,53,-,AUTO DEBIT,5,0,0,0
102,NC,29,624,652,-10,"17,000.00","1,700.00","15,300.00","9,956.59",-,-,-,"10,043.13",245.91,14.9,120,64,-,AUTO DEBIT,10,0,0,0
103,IN,24,785,790,-20,"24,550.00","7,365.00","17,185.00",366.37,-,-,-,367.48,364.29,9.9,60,27,-,COUPON,20,12,0,0
104,NC,37,752,771,-10,"9,700.00",970,"8,730.00","6,503.87",-,-,-,"6,560.40",156.16,14.9,96,37,-,AUTO DEBIT,10,0,0,0
105,CT,36,718,742,-25,"14,850.00","9,167.00","5,683.05","2,975.05",-,-,-,"2,980.95",81.21,11.9,120,74,-,AUTO DEBIT,25,0,0,0
106,PA,44,1,600,-10,"11,400.00","1,140.00","10,260.00","6,917.70",-,-,-,"6,973.79",191.71,13.9,84,37,967.99,AUTO DEBIT,10,0,0,0
107,SC,28,1,669,-10,"25,300.00","4,487.00","20,812.72","18,320.20",-,-,-,"18,468.75",347.34,13.9,120,21,-,AUTO DEBIT,10,0,0,0
108,NY,16,562,663,-25,"14,900.00","2,108.00","12,791.98","9,314.22",-,-,-,"9,337.35",205.6,14.9,120,53,-,AUTO DEBIT,25,0,0,0
109,PA,39,579,660,-25,"13,900.00","1,441.00","12,458.88","6,922.53",-,-,-,"6,938.57",192.7,13.9,120,73,-,AUTO DEBIT,25,0,0,0
110,TN,43,746,689,-20,"15,900.00","3,180.00","12,720.00","6,434.23",-,-,-,"6,457.63",223.86,11.9,84,50,-,AUTO DEBIT,20,0,0,0
111,WV,21,460,615,-1,"15,300.00","1,530.00","13,769.99","11,423.59",-,-,-,"11,720.70",221.32,14.9,120,37,732.38,AUTO DEBIT,1,0,0,0
112,NY,13,574,665,-20,"14,900.00","1,490.00","13,410.00","7,954.61",-,-,-,"7,990.83",239.87,14.9,96,53,536.86,AUTO DEBIT,20,0,0,0
113,MD,8,612,502,-20,"7,100.00",710,"6,390.00","4,051.15",12.24,-,12.24,"4,081.83",114.3,14.9,96,49,"1,854.86",AUTO DEBIT,20,0,0,0
114,DE,46,664,697,-20,"12,600.00","1,260.00","11,340.00","1,726.74",-,-,-,"1,733.54",257.44,12.9,60,53,-,AUTO DEBIT,20,0,0,0
115,NC,27,675,662,3,"12,750.00","1,275.00","11,475.00","10,087.82",192.79,-,8.36,"10,360.03",184.43,14.9,120,28,3.15,COUPON,27,14,0,0
116,NC,2,436,485,56,"6,200.00",620,"5,580.00","3,845.60",243.64,30,12.1,"4,022.77",100.77,14.9,96,44,"1,989.34",COUPON,5,2,1,0
117,WV,37,1,588,-20,"15,725.00","1,579.00","14,145.99","12,426.92",-,-,-,"12,483.50",227.36,14.9,120,28,-,AUTO DEBIT,20,0,0,0
118,PA,12,724,546,-10,"9,000.00",900,"8,100.00","6,171.94",0.02,-,-,"6,225.60",144.89,14.9,96,35,597.3,AUTO DEBIT,10,2,0,0
119,VA,40,674,577,-15,"15,725.00","1,573.00","14,152.50","11,659.64",-,-,-,"11,736.85",227.46,14.9,120,38,981.13,AUTO DEBIT,15,0,0,0
120,VA,6,673,522,-20,"6,750.00",675,"6,075.00","4,100.11",-,-,-,"4,035.27",137.91,12.9,60,24,363.32,AUTO DEBIT,20,0,0,0
121,NY,37,691,656,-25,"16,300.00","2,030.00","14,270.32","10,967.56",-,-,-,"10,994.80",229.36,14.9,120,46,-,COUPON,25,8,0,0
122,MD,36,702,580,-1,"11,400.00","1,140.00","10,260.00","6,917.70",-,-,-,"7,095.66",191.71,13.9,84,37,-,AUTO DEBIT,30,0,0,0
123,VA,47,683,608,-15,"16,900.00","5,070.00","11,830.00","8,586.57",-,-,-,"8,631.98",169.04,11.9,120,49,732.38,AUTO DEBIT,15,0,0,0
124,VT,30,744,806,-25,"19,300.00","2,333.00","16,967.20","6,816.36",-,-,-,"6,833.29",272.7,14.9,120,89,-,AUTO DEBIT,25,0,0,0
125,NC,44,799,698,-5,"9,700.00",970,"8,730.00","6,117.35",-,-,-,"6,183.18",156.16,14.9,96,42,0.1,AUTO DEBIT,5,0,0,0
126,SC,48,700,716,-15,"8,050.00",805,"7,245.00","6,037.19",-,-,-,"6,077.17",129.6,14.9,96,26,368.69,AUTO DEBIT,15,0,0,0
127,ME,34,745,794,-25,"19,400.00","3,951.00","15,449.50","9,055.74",-,-,-,"9,076.72",268.48,13.9,96,53,-,AUTO DEBIT,25,0,0,0
128,SC,13,694,578,-10,"8,730.00",873,"7,857.00","4,409.50",-,-,-,"4,447.82",140.54,14.9,96,56,-,AUTO DEBIT,10,0,0,0
129,VA,43,536,489,41,"18,800.00","1,880.00","16,920.00","12,615.71",641.32,-,36.3,"13,094.41",302.51,17.9,120,57,914.18,COUPON,20,8,7,0
130,NJ,37,742,686,-15,"17,100.00","11,267.00","5,833.33","5,035.98",-,-,-,"5,062.61",83.35,11.9,120,26,-,COUPON,15,2,0,0
131,SC,48,733,765,-15,"10,900.00","1,090.00","9,810.00","6,483.16",-,-,-,"6,534.74",192.89,17.9,96,46,-,AUTO DEBIT,15,0,0,0
132,CA,46,788,717,-25,"16,050.00","3,210.00","12,840.00","8,002.43",-,-,-,"8,019.64",190.96,12.9,120,64,-,AUTO DEBIT,25,0,0,0
133,VA,29,732,687,-5,"12,400.00","1,557.00","10,842.59","9,354.71",-,-,-,"9,455.37",174.27,14.9,120,31,-,AUTO DEBIT,5,0,0,0
134,SC,14,753,582,759,"14,900.00","2,452.00","12,447.98","11,248.08","5,318.10",-,124.6,"16,560.76",207.74,15.9,120,22,"1,858.25",COUPON,1,14,14,11
135,VA,44,571,505,-5,"13,300.00","1,995.00","11,305.00","9,291.19",-,-,-,"9,384.46",174.85,13.9,120,35,-,COUPON,5,4,1,0
136,WV,35,642,505,340,"16,733.00","1,673.00","15,060.00","13,306.65","3,124.32",60,159.72,"15,473.99",242.05,14.9,120,27,"1,645.01",COUPON,25,12,11,8
137,NY,45,654,705,-15,"16,900.00","2,535.00","14,365.00","11,634.22",-,-,-,"11,553.35",222.18,13.9,120,39,-,AUTO DEBIT,10,14,0,0
138,NY,19,589,708,-5,"20,400.00","2,058.00","18,342.38","16,584.94",-,-,-,"16,763.41",294.8,14.9,120,23,721.63,AUTO DEBIT,5,0,0,0
139,SC,48,563,479,705,"8,050.00",805,"7,245.00","7,175.70","3,878.86",-,246.46,"11,181.90",151.35,19.9,96,2,"1,896.33",COUPON,25,15,14,11
140,SC,13,646,494,582,"24,600.00","2,460.00","22,140.00","17,236.49","9,319.56",-,612.96,"23,224.51",435.33,17.9,96,33,"4,910.81",COUPON,25,15,14,11
141,NC,37,680,759,-22,"19,400.00","1,940.00","17,460.00","13,532.00",18.81,-,18.81,"13,601.21",280.62,14.9,120,46,5.08,AUTO DEBIT,5,0,0,0
142,MD,31,1,683,-20,"21,600.00","9,221.00","12,378.59","10,712.18",-,-,-,"10,751.13",176.88,11.9,120,27,-,AUTO DEBIT,20,0,0,0
143,OH,44,765,539,36,"15,500.00","4,650.00","10,850.00","5,665.08",370.42,-,-,"5,776.59",185.21,10.9,84,47,-,COUPON,25,3,1,0
144,CA,10,757,770,-5,"14,900.00","7,800.00","7,100.00","3,667.74",-,-,-,"3,683.63",103.7,6,84,45,-,AUTO DEBIT,5,0,0,0
145,KY,39,602,600,-25,"13,650.00","1,365.00","12,285.00","10,792.05",-,-,-,"10,818.85",197.45,14.9,120,28,363.32,AUTO DEBIT,25,0,0,0
146,OH,27,677,685,-20,"20,900.00","2,514.00","18,386.47","9,694.26",-,-,-,"9,735.43",284.38,13.9,120,76,-,AUTO DEBIT,20,0,0,0
147,NC,23,745,726,-28,"15,480.00","8,325.00","7,155.00","3,189.67",-,-,-,"3,192.83",102.24,11.9,120,82,-,AUTO DEBIT,28,0,0,0
148,SC,47,729,606,25,"19,400.00","3,880.00","15,520.00","10,639.91",244.67,-,69.25,"10,866.19",230.82,12.9,120,56,732.38,COUPON,5,5,2,0
149,FL,6,801,772,-15,"8,050.00",805,"7,245.00","5,982.55",7.78,-,7.78,"6,029.94",129.6,14.9,96,27,50.68,COUPON,15,9,0,0
150,GA,6,732,538,-25,"7,500.00",750,"6,750.00","4,403.64",-,-,-,"4,413.84",126.12,13.9,84,39,-,AUTO DEBIT,25,0,0,0
151,GA,23,692,663,-5,"9,700.00",970,"8,730.00","6,196.58",-,-,-,"6,263.26",156.16,14.9,96,41,"1,119.13",AUTO DEBIT,5,0,0,0
152,DE,20,684,738,-25,"16,900.00","1,827.00","15,073.31","11,387.01",-,-,-,"11,415.29",242.26,14.9,120,49,-,AUTO DEBIT,25,0,0,0
153,GA,43,675,528,46,"16,500.00","2,442.00","14,057.78","7,537.28",460.96,-,26.1,"7,781.43",217.43,13.9,120,74,714.18,COUPON,15,2,1,0
154,NC,8,463,,289,"6,900.00",691,"6,208.75","5,737.91","1,255.76",30,178.04,"6,607.73",111.06,14.9,96,13,"1,445.37",COUPON,15,14,11,6
155,NC,46,493,556,740,"9,700.00","1,026.00","8,673.75","8,008.68","4,544.50",-,280.75,"11,054.39",170.55,17.9,96,13,"1,435.49",COUPON,20,14,13,10
156,SC,48,647,707,-5,"10,900.00","1,293.00","9,607.00","5,994.18",-,-,-,"6,058.69",171.85,14.9,96,50,793.13,AUTO DEBIT,5,1,0,0
157,VA,50,619,617,-15,"8,050.00",805,"7,245.00","4,888.27",-,-,-,"4,916.30",164.48,12.9,60,24,363.32,AUTO DEBIT,15,0,0,0
158,NC,32,641,728,-20,"23,200.00","2,320.00","20,880.00","14,631.81",-,-,-,"14,698.43",373.49,14.9,96,42,-,AUTO DEBIT,20,0,0,0
159,GA,7,599,613,-25,"8,000.00",800,"7,200.00","3,889.22",-,-,-,"3,898.88",128.79,14.9,96,57,-0.38,AUTO DEBIT,25,0,0,0
160,MD,2,592,597,-20,"5,200.00",520,"4,680.00","4,033.24",-,-,-,"4,051.60",83.71,14.9,96,22,0.45,AUTO DEBIT,20,0,0,0
161,NC,8,600,,432,"7,100.00",710,"6,390.00","2,832.00","1,828.16",30,7.16,"3,253.71",119.4,13.9,84,34,"1,005.38",COUPON,25,15,14,11
162,SC,6,646,634,-25,"7,500.00",926,"6,573.75","5,428.33",-,-,-,"5,441.81",117.59,14.9,96,27,424.06,AUTO DEBIT,25,1,0,0
163,VA,8,693,630,-25,"7,100.00","1,065.00","6,035.00","4,232.92",-,-,-,"4,242.72",104.49,13.9,96,41,-,AUTO DEBIT,25,0,0,0
164,WV,18,635,715,-15,"12,600.00","1,260.00","11,340.00","8,545.02",-,-,-,"8,601.61",202.85,14.9,96,36,363.32,AUTO DEBIT,15,0,0,0
165,NC,23,643,695,5,"16,650.00","1,665.00","14,985.00","6,672.46",264.88,-,14.99,"6,910.45",249.89,15.9,120,86,-,COUPON,25,12,0,0
166,PA,27,698,716,-20,"12,900.00","1,290.00","11,610.00","8,649.84",-,-,-,"8,689.22",207.67,14.9,96,37,363.32,AUTO DEBIT,20,0,0,0
167,NC,5,472,549,-15,"6,200.00",771,"5,428.75","4,090.61",-,-,-,"4,117.70",97.11,14.9,96,36,"1,417.90",AUTO DEBIT,15,0,0,0
168,CT,30,698,696,-20,"23,200.00","2,320.00","20,880.00","13,028.88",-,-,-,"13,088.20",373.49,14.9,96,50,732.38,AUTO DEBIT,20,0,0,0
169,TN,40,672,650,-15,"12,200.00","1,220.00","10,980.00","7,069.51",-,-,-,"7,116.33",196.41,14.9,96,48,359.46,AUTO DEBIT,15,0,0,0
170,SC,22,663,787,-20,"19,400.00","3,880.00","15,520.00","7,676.24",-,-,-,"7,704.15",273.14,11.9,84,49,-,COUPON,20,0,0,0
171,OH,45,761,735,-10,"12,000.00","1,200.00","10,800.00","8,918.21",-,-,-,"8,995.72",193.19,14.9,96,27,-,AUTO DEBIT,10,0,0,0
172,PA,16,668,683,-15,"9,900.00","1,090.00","8,810.00","5,540.58",-,-,-,"5,584.66",173.23,17.9,96,50,944.12,COUPON,15,14,1,0
173,PA,7,634,660,-1,"7,500.00",926,"6,573.75","5,229.00",-,-,-,"5,440.54",122.83,13.9,84,25,-,COUPON,1,11,5,2
174,PA,44,624,549,390,"10,400.00","1,040.00","9,360.00","8,799.51","2,142.14",60,126.42,"10,453.06",150.44,14.9,120,15,"1,256.08",COUPON,5,13,12,9
175,NC,7,678,721,-10,"7,100.00",771,"6,328.75","4,402.52",-,-,-,"4,438.22",118.25,13.9,84,35,363.32,COUPON,10,13,5,0
176,NJ,7,619,689,-1,"6,900.00",926,"5,973.75","4,372.35",38.14,30,8.14,"4,479.48",135.62,12.9,60,20,-,AUTO DEBIT,1,1,0,0
177,VA,50,690,611,-25,"8,050.00",805,"7,245.00","5,871.23",-,-,-,"5,885.81",129.6,14.9,96,29,-,AUTO DEBIT,25,0,0,0
178,OH,18,802,731,-15,"9,700.00",970,"8,730.00","6,206.98",9.37,-,9.37,"6,257.45",156.16,14.9,96,41,-,AUTO DEBIT,15,0,0,0
179,NJ,23,586,604,-5,"12,500.00","1,747.00","10,752.80","8,123.11",-,-,-,"8,210.52",172.82,14.9,120,49,703.19,AUTO DEBIT,5,0,0,0
180,NC,52,683,588,472,"8,700.00","1,026.00","7,673.75","6,727.54","2,559.04",-,144.8,"8,427.22",150.89,17.9,96,20,"1,094.05",COUPON,15,14,13,10
181,MD,46,608,556,60,"12,900.00","1,290.00","11,610.00","10,066.85",441.92,-,37.53,"10,698.59",208.45,17.9,120,34,363.32,COUPON,1,14,4,0
182,VA,7,688,588,-25,"7,100.00",926,"6,173.75","3,914.18",-,-,-,"3,923.90",110.43,14.9,96,49,-,AUTO DEBIT,25,0,0,0
183,NC,15,793,784,-20,"10,800.00","2,160.00","8,640.00","5,878.57",-,-,-,"5,899.95",152.06,11.9,84,35,-,AUTO DEBIT,20,0,0,0
184,SC,2,525,503,406,"6,200.00",630,"5,570.00","4,448.56","1,495.11",-,101.03,"5,286.60",99.63,14.9,96,30,590.54,COUPON,20,14,13,10
185,NC,48,571,696,-20,"7,100.00",710,"6,390.00","4,176.81",-,-,-,"4,195.82",114.3,14.9,96,47,19.56,AUTO DEBIT,20,0,0,0
186,VA,5,676,702,-2,"6,750.00","1,294.00","5,456.25","4,307.21",-,-,-,"4,351.97",98.96,12.9,84,25,-,AUTO DEBIT,2,0,0,0
187,GA,17,651,654,-20,"10,500.00","1,394.00","9,106.25","7,519.64",-,-,-,"7,553.88",162.89,14.9,96,27,"1,125.53",AUTO DEBIT,20,0,0,0
188,PA,51,779,835,-15,"14,900.00","4,900.00","10,000.00","6,890.51",-,-,-,"6,920.83",211.98,9.9,60,22,-,AUTO DEBIT,15,0,0,0
189,NY,51,777,801,-5,"11,150.00","1,115.00","10,035.00","8,076.27",-,-,-,"8,157.35",187.5,13.9,84,24,0.1,AUTO DEBIT,5,0,0,0
190,MI,37,805,775,-10,"12,200.00","1,365.00","10,834.80","6,426.73",-,-,-,"6,482.59",193.81,14.9,96,53,-,AUTO DEBIT,10,0,0,0
191,VA,9,627,715,-5,"9,700.00","1,481.00","8,218.60","5,297.90",-,-,-,"5,351.09",142.3,13.9,96,47,291.32,AUTO DEBIT,5,0,0,0
192,NC,9,812,834,-10,"14,900.00","7,450.00","7,450.00","2,766.69",-,-,-,"2,782.67",157.92,9.9,60,41,-,AUTO DEBIT,10,0,0,0
193,SC,4,675,799,-5,"7,380.00",738,"6,642.00","3,939.68",-,-,-,"3,982.08",118.81,14.9,96,53,-,AUTO DEBIT,5,0,0,0
194,GA,9,679,647,-5,"10,250.00","1,025.00","9,225.00","4,613.66",-,-,-,"4,633.65",140.49,6,96,60,363.32,AUTO DEBIT,5,2,0,0
195,SC,7,614,540,-10,"7,100.00",710,"6,390.00","4,339.47",56.26,56.26,-,"4,433.45",114.3,14.9,96,44,-,AUTO DEBIT,10,4,1,0
196,SC,49,752,755,-20,"9,900.00",990,"8,910.00","7,556.69",-,-,-,"7,591.10",159.38,14.9,96,24,721.63,AUTO DEBIT,20,0,0,0
197,MD,15,695,717,-1,"9,900.00","1,294.00","8,606.25","5,455.83",-,-,-,"5,605.88",153.95,14.9,96,49,-,AUTO DEBIT,1,0,0,0
198,SC,7,516,,-5,"10,900.00","1,090.00","9,810.00","5,073.83",-,-,-,"5,124.76",151.73,13.9,120,77,"1,975.39",AUTO DEBIT,5,8,6,0
199,MD,17,544,644,10,"11,600.00","1,160.00","10,440.00","4,780.11",209.17,-,22.42,"4,883.06",186.75,14.9,96,65,7.98,COUPON,20,11,5,0
200,NC,34,470,520,698,"10,300.00","1,030.00","9,270.00","9,122.41","4,517.99",-,325.78,"13,294.17",182.27,17.9,96,3,"1,546.40",COUPON,1,14,14,11
201,SC,13,703,805,-15,"14,900.00","1,490.00","13,410.00","7,526.02",-,-,-,"7,575.86",239.87,14.9,96,56,-,AUTO DEBIT,15,0,0,0
202,SC,8,624,612,750,"7,000.00",700,"6,300.00","5,154.21","3,307.50",-,210.75,"7,089.70",123.87,17.9,96,28,"1,450.37",COUPON,10,14,13,10
203,NC,10,764,782,-20,"10,800.00","1,080.00","9,720.00","8,637.45",-,-,-,"8,676.78",156.22,14.9,120,26,-,AUTO DEBIT,20,0,0,0
204,PA,1,643,510,36,"5,200.00",520,"4,680.00","3,515.41",275.22,-,62.74,"3,660.25",106.24,12.9,60,19,890.81,COUPON,25,2,1,0
205,NC,49,705,749,-25,"8,000.00",900,"7,100.00","3,251.71",-,-,-,"3,259.25",132.66,13.9,84,55,-,AUTO DEBIT,25,0,0,0
206,NC,8,626,600,-10,"7,100.00",710,"6,390.00","3,652.94",-,-,-,"3,682.56",119.4,13.9,84,45,-,COUPON,10,4,0,0
207,SC,38,513,559,-25,"11,050.00","1,105.00","9,945.00","8,287.37",-,-,-,"8,307.95",177.89,14.9,96,26,"1,238.59",AUTO DEBIT,25,0,0,0
208,GA,9,699,730,-20,"9,800.00",980,"8,820.00","7,283.24",-,-,-,"7,316.40",157.77,14.9,96,27,-,AUTO DEBIT,20,0,0,0
209,VA,26,745,767,-3,"24,200.00","2,420.00","21,780.00","19,244.60",-,-,-,"19,467.62",350.05,14.9,120,27,-,AUTO DEBIT,3,0,0,0
210,VA,37,795,735,-15,"13,650.00","1,365.00","12,285.00","9,772.07",-,-,-,"9,832.44",229.54,13.9,84,25,-,AUTO DEBIT,15,0,0,0
211,SC,49,453,580,745,"7,100.00",771,"6,328.75","6,187.62","3,341.51",-,230.51,"8,605.45",124.44,17.9,96,4,"1,474.51",COUPON,15,14,13,10
212,OH,25,777,693,-10,"24,200.00","4,840.00","19,360.00","12,733.84",-,-,-,"12,822.24",340.72,11.9,84,36,-,COUPON,10,14,0,0
213,GA,12,485,541,851,"7,540.00",754,"6,786.00","6,177.84","3,951.70",30,185.66,"9,734.91",133.43,17.9,96,17,523.9,COUPON,1,14,14,11
214,NC,5,648,596,-5,"6,200.00",742,"5,458.25","3,063.44",-,-,-,"3,096.41",97.63,14.9,96,56,640.28,AUTO DEBIT,5,0,0,0
215,VA,1,613,712,-10,"6,100.00",896,"5,203.75",472.31,-,-,-,476.14,97.23,13.9,84,71,-,AUTO CREDIT,10,12,10,0
216,NY,6,674,640,-20,"7,000.00",700,"6,300.00","3,910.41",-,-,-,"3,931.80",123.93,17.9,96,56,-,COUPON,20,12,8,1
217,NY,32,658,596,-20,"11,600.00","1,260.00","10,340.00","6,450.39",0.35,0.35,-,"6,480.10",184.96,14.9,96,48,363.32,AUTO CREDIT,20,1,0,0
218,NC,27,764,709,-15,"11,600.00","1,160.00","10,440.00","7,954.83",-,-,-,"8,007.51",186.75,14.9,96,35,-,AUTO DEBIT,15,0,0,0
219,SC,6,535,643,-25,"7,700.00","1,026.00","6,673.75","5,458.67",-,-,-,"5,472.23",119.38,14.9,96,28,-,AUTO DEBIT,25,0,0,0
220,MD,4,732,685,-1,"6,200.00",671,"5,528.75","4,729.06",-,-,-,"4,853.29",98.9,14.9,96,23,363.32,AUTO DEBIT,1,0,0,0
221,SC,14,569,528,69,"12,500.00","1,250.00","11,250.00","9,268.34",719.23,90,86.8,"9,817.95",180.81,14.9,120,38,"1,553.22",AUTO DEBIT,23,9,8,0
222,IN,9,677,613,-25,"10,300.00","1,030.00","9,270.00","6,662.93",-,-,-,"6,679.47",165.82,14.9,96,40,"1,405.26",AUTO DEBIT,25,0,0,0
223,GA,50,525,647,56,"6,900.00",926,"5,973.75","5,194.97",386.41,90,82.69,"5,551.13",106.86,14.9,96,21,-,AUTO DEBIT,5,4,2,0
224,VA,43,799,828,-15,"11,100.00","1,110.00","9,990.00","5,735.02",-,-,-,"5,770.45",154.51,13.9,120,71,-,AUTO DEBIT,15,0,0,0
225,KY,23,759,793,-25,"11,100.00","1,110.00","9,990.00","4,813.49",-,-,-,"4,825.45",178.7,14.9,96,63,-,AUTO DEBIT,25,0,0,0
226,NC,31,561,551,263,"23,200.00","2,320.00","20,880.00","18,449.08","3,361.41",-,-,"20,592.80",373.49,14.9,96,18,721.63,COUPON,1,11,10,5
227,MD,35,517,494,-10,"10,400.00","1,040.00","9,360.00","8,687.16",80.3,40.1,40.2,"9,119.36",167.43,14.9,96,19,"1,535.70",AUTO DEBIT,10,14,13,9
228,NC,2,671,483,117,"6,450.00",645,"5,805.00","4,671.73",614.92,150,26.04,"5,110.09",108.47,13.9,84,24,491.74,AUTO DEBIT,5,6,4,0
229,NC,30,601,680,-20,"11,600.00","1,160.00","10,440.00","6,618.53",-,-,-,"6,648.66",186.75,14.9,96,49,-,AUTO DEBIT,20,0,0,0
230,MD,49,669,654,-20,"7,100.00",710,"6,390.00","3,923.78",-,-,-,"3,941.64",114.3,14.9,96,50,186.13,COUPON,20,11,6,1
231,NC,7,591,646,-1,"7,500.00",926,"6,573.75","5,477.90",-,-,-,"5,622.31",117.59,14.9,96,26,424.06,AUTO DEBIT,15,0,0,0
232,DE,11,759,782,-20,"16,950.00","3,390.00","13,560.00","9,940.56",-,-,-,"9,976.71",238.65,11.9,84,30,-,AUTO DEBIT,20,0,0,0
233,MD,7,619,732,-15,"7,100.00","1,026.00","6,073.75","4,095.04",-,-,-,"4,120.33",113.49,13.9,84,37,363.32,AUTO DEBIT,15,0,0,0
234,SC,46,803,655,-5,"11,100.00","1,110.00","9,990.00","5,769.48",-,-,-,"5,835.74",166.72,15.9,120,73,363.32,COUPON,5,0,0,0
235,VA,5,698,613,-20,"7,400.00",740,"6,660.00",217.25,-,-,-,218.31,131.9,15.9,84,77,-,COUPON,20,0,0,0
236,NC,6,578,644,117,"7,700.00",926,"6,773.75","5,637.41",530.8,-,37.95,"5,972.93",126.57,13.9,84,20,962.46,COUPON,5,12,8,0
237,VA,13,525,,740,"10,150.00","1,015.00","9,135.00","9,135.00","4,290.80",-,205.8,"12,031.82",163.4,14.9,96,0,"1,885.28",COUPON,20,14,13,10
238,IL,23,560,651,664,"14,900.00","1,490.00","13,410.00","1,915.15","2,026.76",-,-,"2,023.80",207.41,13.9,120,51,536.77,COUPON,5,3,3,3
239,SC,8,485,480,821,"7,100.00",711,"6,388.75","5,688.48","3,614.48",-,222.74,"9,077.54",125.62,17.9,96,18,"1,966.46",COUPON,1,14,14,11
240,VA,3,782,756,-20,"6,750.00","1,046.00","5,703.75","4,674.29",-,-,-,"4,694.14",98.76,13.9,96,27,-,AUTO DEBIT,20,0,0,0
241,MD,47,661,495,5,"11,100.00","1,110.00","9,990.00","5,440.53",208.22,-,11.79,"5,549.35",196.43,17.9,96,59,363.32,COUPON,25,11,0,0
242,MA,4,505,591,-15,"6,750.00",675,"6,075.00","4,832.27",-,-,-,"4,862.12",113.51,13.9,84,25,-,AUTO DEBIT,15,0,0,0
243,SC,8,643,628,-10,"7,000.00",765,"6,235.00","3,361.85",-,-,-,"3,391.07",111.53,14.9,96,58,579.79,AUTO CREDIT,10,1,0,0
244,NC,50,455,584,679,"7,100.00",710,"6,390.00","5,478.54","3,466.30",-,396.03,"7,788.83",133.49,19.9,96,25,"1,431.20",COUPON,20,14,13,10
245,NC,11,503,627,-20,"9,800.00",980,"8,820.00","7,098.95",-,-,-,"7,131.27",157.77,14.9,96,30,484.8,AUTO DEBIT,20,0,0,0
246,NJ,38,681,612,-15,"19,400.00","5,820.00","13,580.00","8,066.89",-,-,-,"8,102.38",287.87,9.9,60,28,-,AUTO DEBIT,15,0,0,0
247,SC,17,792,814,-20,"10,300.00","1,030.00","9,270.00","7,439.85",-,-,-,"7,473.72",165.82,14.9,96,30,-,COUPON,20,0,0,0
248,KY,47,735,726,-5,"14,900.00","2,980.00","11,920.00","4,460.90",-,-,-,"4,499.24",209.78,11.9,84,60,-,AUTO DEBIT,5,0,0,0
249,VA,46,499,522,51,"9,700.00",970,"8,730.00","6,117.33",331.06,-,18.74,"6,723.39",156.16,14.9,96,42,368.69,COUPON,10,14,13,10
250,SC,36,0,,482,"9,900.00",990,"8,910.00","6,252.33","2,971.20",-,168.16,"7,817.17",175.19,17.9,96,42,"2,088.01",COUPON,5,14,13,10
251,SC,14,780,830,-10,"7,800.00",780,"7,020.00",217.35,-,-,-,219.24,135.07,14.9,84,82,-,AUTO DEBIT,10,0,0,0
252,NY,28,599,637,-20,"18,500.00","1,850.00","16,650.00","7,246.25",-,-,-,"7,279.24",267.6,14.9,120,86,-,AUTO DEBIT,20,0,0,0
253,NC,15,651,748,-20,"10,300.00","1,030.00","9,270.00","5,498.46",-,-,-,"5,523.49",165.82,14.9,96,53,-,AUTO DEBIT,20,1,0,0
